strategy,topic_100,count
E3,-1,7409
E4,-1,7276
E2,-1,5757
E1,-1,3796
E4,0,887
E3,0,734
E1,4,590
E1,1,587
E4,3,572
E3,3,529
E2,1,490
E4,7,471
E2,2,469
E1,2,458
E1,6,448
E4,13,433
E4,11,427
E2,6,389
E3,7,388
E1,5,369
E4,8,329
E2,5,324
E4,18,323
E2,10,321
E3,12,319
E4,16,309
E1,23,308
E1,33,286
E4,15,277
E3,13,276
E3,26,275
E1,25,273
E1,21,263
E4,12,259
E2,4,258
E2,9,257
E4,1,251
E1,17,248
E2,17,247
E2,21,242
E4,2,239
E1,20,236
E1,9,234
E4,6,232
E1,8,227
E4,26,226
E3,16,225
E3,14,222
E1,37,221
E4,9,221
E3,22,220
E4,5,218
E2,0,216
E2,20,214
E2,8,211
E3,8,209
E3,24,208
E1,28,207
E3,11,207
E2,29,207
E2,19,205
E3,18,204
E3,35,201
E4,34,196
E2,14,195
E4,43,193
E4,27,191
E4,24,190
E3,41,189
E4,10,188
E2,23,187
E4,48,185
E4,30,184
E3,1,182
E2,3,182
E3,9,180
E2,15,180
E3,43,179
E3,27,179
E4,52,178
E3,30,178
E1,54,175
E3,52,174
E4,32,172
E4,44,170
E1,39,166
E3,42,165
E3,2,164
E1,10,164
E2,39,163
E3,5,163
E4,36,163
E4,56,163
E2,25,162
E3,55,161
E3,49,161
E3,15,159
E1,40,158
E2,37,155
E3,48,154
E2,38,153
E2,7,152
E4,63,152
E3,32,150
E3,51,149
E4,22,148
E3,45,147
E4,62,146
E4,31,146
E3,6,146
E1,50,142
E4,19,142
E2,22,142
E2,50,140
E3,34,139
E3,56,139
E3,62,138
E4,57,137
E2,31,136
E4,49,136
E2,28,135
E2,54,135
E2,36,135
E3,19,134
E4,64,132
E4,14,131
E1,97,130
E2,40,130
E4,38,129
E4,51,129
E2,58,129
E2,46,127
E4,35,127
E1,101,126
E1,31,125
E3,69,125
E4,81,122
E1,95,122
E4,94,121
E3,81,121
E4,42,121
E3,100,121
E4,46,119
E1,47,118
E2,43,118
E2,24,118
E3,36,118
E4,41,116
E4,113,114
E3,87,113
E3,44,111
E4,80,111
E1,96,111
E4,59,110
E4,71,110
E2,53,110
E4,66,109
E4,69,109
E2,68,109
E2,62,109
E3,107,108
E2,42,108
E3,46,107
E4,55,107
E4,99,107
E4,53,105
E4,83,104
E3,80,104
E2,65,104
E1,119,104
E3,90,103
E3,78,103
E2,76,103
E1,60,103
E3,66,103
E2,67,101
E1,122,100
E3,10,100
E1,19,100
E4,105,100
E3,38,100
E1,131,98
E1,15,98
E2,47,98
E3,79,98
E4,84,97
E1,76,97
E4,74,97
E3,118,97
E1,36,96
E2,75,96
E3,130,96
E4,88,96
E3,102,96
E3,98,96
E3,92,96
E3,59,95
E1,91,95
E4,114,94
E4,90,93
E3,63,93
E3,70,93
E4,70,93
E1,29,92
E2,60,91
E2,32,91
E1,110,91
E4,4,90
E2,72,89
E3,104,89
E4,120,89
E1,65,89
E4,21,88
E3,31,88
E4,124,88
E2,30,87
E1,68,87
E3,142,86
E3,71,86
E2,89,85
E1,14,85
E2,45,85
E1,109,85
E4,146,85
E3,138,85
E3,88,84
E3,103,84
E1,89,84
E3,64,84
E4,29,83
E3,112,83
E2,109,83
E4,108,82
E4,121,82
E3,73,82
E3,57,82
E1,106,82
E3,133,81
E4,115,81
E4,61,81
E3,84,81
E4,98,81
E4,77,81
E4,78,81
E3,117,80
E2,27,80
E1,46,80
E2,59,80
E2,61,80
E4,102,79
E3,146,79
E4,133,79
E4,79,79
E2,87,78
E4,147,77
E3,147,77
E2,96,77
E1,134,77
E4,92,77
E4,86,77
E4,73,76
E3,20,76
E3,135,76
E3,139,75
E2,125,75
E4,116,75
E4,126,74
E3,127,73
E3,83,73
E2,82,73
E4,111,73
E4,129,73
E3,53,72
E3,121,72
E4,103,72
E3,123,71
E2,73,71
E2,107,71
E3,114,70
E3,116,70
E3,94,69
E2,41,69
E3,99,68
E2,86,67
E1,125,66
E3,61,66
E4,20,66
E1,72,65
E4,118,65
E2,85,65
E2,13,64
E3,111,64
E3,126,64
E2,93,64
E1,67,64
E2,49,64
E3,145,64
E3,74,64
E4,117,64
E2,12,63
E3,21,63
E4,82,63
E4,123,62
E3,115,62
E4,104,61
E4,54,60
E3,86,59
E3,77,59
E2,44,59
E2,95,59
E2,106,58
E2,137,58
E3,108,58
E4,87,57
E4,72,57
E2,122,57
E3,17,57
E3,105,57
E2,77,57
E1,82,56
E3,4,56
E4,17,56
E4,23,56
E4,112,56
E4,60,55
E1,132,55
E3,47,55
E1,58,55
E4,130,55
E2,140,55
E3,39,54
E4,136,54
E4,145,54
E2,128,53
E2,132,53
E4,109,53
E3,120,53
E1,93,52
E3,136,52
E4,144,52
E2,130,51
E4,65,50
E4,85,50
E2,57,50
E2,26,50
E2,78,49
E1,22,49
E3,72,49
E4,45,48
E4,58,48
E3,93,48
E1,75,48
E4,47,47
E3,82,47
E2,134,47
E3,54,47
E3,29,47
E4,142,47
E4,128,46
E2,35,46
E2,91,45
E1,85,45
E2,70,45
E1,143,45
E4,39,44
E1,32,43
E3,144,43
E2,33,43
E2,110,43
E4,93,43
E2,48,43
E1,53,42
E2,66,42
E2,118,42
E3,124,42
E3,129,42
E1,140,42
E3,50,41
E3,40,41
