strategy,topic_100,count
E1,42,41
E3,128,40
E2,52,40
E2,141,40
E1,0,39
E4,107,39
E2,131,39
E2,127,39
E2,129,38
E1,24,38
E4,75,38
E4,143,38
E2,34,38
E4,25,38
E4,138,37
E4,127,37
E3,141,37
E4,139,37
E3,65,37
E3,68,37
E4,40,36
E4,67,36
E3,109,36
E2,104,36
E2,121,36
E4,50,36
E3,58,36
E1,86,35
E2,74,35
E2,90,35
E2,101,35
E2,115,35
E4,135,34
E3,113,34
E1,137,34
E3,85,34
E3,25,34
E4,100,33
E1,27,33
E2,80,33
E2,147,33
E3,75,32
E4,37,32
E1,59,32
E2,100,31
E3,67,31
E3,23,31
E2,143,30
E1,45,30
E2,56,30
E4,68,30
E3,60,30
E2,51,30
E2,126,28
E2,16,28
E2,144,28
E2,138,27
E2,139,27
E1,41,27
E4,96,27
E2,119,27
E3,91,27
E4,141,27
E2,135,27
E3,143,26
E2,55,26
E1,30,26
E2,111,26
E4,106,25
E1,57,25
E1,141,25
E4,132,25
E2,103,25
E2,97,25
E2,123,24
E1,61,24
E3,28,24
E4,137,24
E2,136,24
E2,83,24
E2,18,24
E2,64,22
E2,88,22
E4,91,21
E1,3,21
E4,76,21
E4,140,20
E4,125,20
E4,28,20
E3,96,20
E1,49,19
E1,128,19
E2,117,19
E2,69,19
E1,74,19
E3,76,19
E3,132,19
E2,71,18
E1,77,18
E3,37,17
E2,63,17
E2,81,17
E4,89,17
E2,79,16
E2,108,16
E1,87,16
E3,89,16
E1,66,16
E2,92,16
E3,140,16
E2,84,16
E2,142,16
E3,106,15
E2,145,15
E2,112,14
E1,44,14
E3,134,13
E3,137,13
E4,134,13
E2,116,13
E1,135,12
E2,102,12
E2,105,12
E1,127,12
E1,83,12
E2,98,11
E2,99,11
E3,119,10
E2,120,10
E1,56,10
E1,62,10
E3,125,10
E4,110,10
E3,110,9
E2,146,9
E2,133,9
E4,122,8
E4,119,8
E1,64,8
E1,138,8
E1,107,8
E3,122,8
E1,123,7
E1,38,7
E2,124,7
E1,7,7
E1,121,7
E1,136,7
E1,115,6
E1,117,6
E3,95,6
E1,111,6
E1,126,6
E1,34,6
E1,73,6
E1,139,6
E1,105,6
E1,78,6
E1,70,5
E1,144,5
E1,69,5
E1,55,5
E2,94,5
E2,113,5
E1,12,5
E1,48,5
E2,11,5
E1,18,4
E1,84,4
E1,99,4
E1,129,4
E1,100,4
E1,118,4
E3,97,4
E4,131,4
E1,103,4
E1,13,4
E1,92,3
E1,147,3
E1,133,3
E4,95,3
E1,104,3
E1,80,3
E1,112,3
E1,26,3
E1,79,2
E1,90,2
E3,131,2
E1,88,2
E1,51,2
E3,101,2
E1,120,2
E1,108,2
E1,102,2
E4,101,2
E1,124,1
E1,94,1
E1,130,1
E3,33,1
E1,114,1
E1,35,1
E2,114,1
E1,142,1
E1,63,1
E1,52,1
E1,11,1
