OST_BK,topic_100
62344324,-1
62395378,-1
62405558,37
62470470,-1
62591329,110
62684617,97
62810237,20
62894330,95
63045929,-1
63052279,-1
63074019,37
63372969,5
63907141,33
64223960,2
64366255,47
64386889,-1
64614656,33
64700348,-1
64769705,131
64852800,15
65036022,-1
65050083,-1
65052047,17
65316581,-1
65384025,91
65419799,119
65423098,39
65449231,97
65512216,1
65605177,-1
65617391,5
65641830,5
65680120,20
65682797,5
65707785,2
65741141,-1
65893061,54
66032350,-1
66091934,-1
66184417,-1
66226028,8
66298968,28
66755160,96
66846283,68
66955230,-1
67165864,-1
67236513,5
67240843,67
67375647,8
67397259,31
67414282,-1
67454111,-1
67527248,23
67607337,44
67732017,5
67788937,-1
67979070,17
68053571,29
68078784,96
68113972,19
68339558,15
68377168,-1
68595534,125
68709512,9
68928635,-1
69004319,-1
69053744,96
69145817,65
69346690,-1
69366409,6
69517276,27
69554750,72
69872886,23
70280195,-1
70441094,33
70588815,-1
70715262,97
70923097,75
70969276,-1
71191838,36
71201168,17
71449081,28
71566421,20
71587135,125
71677534,57
71744147,-1
71863603,47
72072342,1
72162752,110
72219286,50
72279910,36
72378564,-1
72534832,29
72549968,23
72628069,5
72701696,58
72806321,-1
72917365,9
72921251,33
73203924,-1
73265059,27
73277978,4
74009448,-1
74031307,28
74051443,80
74121846,28
74182706,-1
74251304,-1
74455081,-1
74798070,-1
74817515,6
74918134,-1
75228178,-1
75337788,95
75514374,-1
75520067,-1
75556924,47
75560743,15
75781290,10
75836315,0
75916205,97
76016520,-1
76017121,-1
76029151,2
76292457,-1
76323045,4
76401165,97
76441986,2
76474779,119
76673316,8
76686672,25
76817562,20
76850279,-1
77016251,-1
77058211,5
77190786,91
77191805,1
77296148,101
77323290,-1
77687749,4
77808721,-1
77816913,140
77893935,25
78168577,120
78187877,-1
78364274,140
78388841,1
78458641,23
78549159,-1
78603994,28
78926712,-1
79130466,15
79214196,50
79265361,91
79269176,4
79438665,-1
79918044,106
79965728,-1
80009274,-1
80011708,109
80026923,-1
80042127,106
80047476,-1
80089529,1
80124589,23
80138665,31
80298024,4
80319210,83
80435329,-1
80463433,5
80745993,19
80763275,4
80802945,137
80922280,-1
80929519,5
81087606,-1
81289287,50
81307390,20
81338413,96
81430860,137
81483078,4
81544973,33
81546098,2
81548716,96
81596608,4
81613022,131
81629739,25
81676069,-1
81743903,21
81821223,39
81862867,60
81953026,119
82117995,-1
82343360,21
82482783,91
82574413,4
9678402,106
11196783,-1
14193954,134
14665492,40
15619933,-1
16932850,93
17542479,23
17923123,-1
20098467,39
21392654,-1
21768918,-1
23002256,40
23306231,-1
23440584,-1
23913180,137
24500810,132
25300865,1
26088388,-1
26296218,28
26539817,40
26636925,17
26802925,28
27422642,74
27519630,-1
27709228,-1
27820519,2
28297927,91
28851606,37
29262399,1
29778884,128
30461875,1
30830942,33
31352627,97
31371682,37
31531219,28
31679314,-1
31819627,-1
32350115,91
32542459,101
32646667,4
32662263,-1
33288063,-1
33941735,33
33956565,5
34081460,97
34094843,17
34249865,40
34914246,39
34973902,5
35139240,110
35400420,2
35666726,13
35723289,37
36374554,23
36465310,27
36628535,-1
36681286,10
37128940,17
37344697,97
37347678,97
37682691,-1
37699008,-1
37835616,-1
37933874,-1
38082767,-1
38199932,-1
39229367,-1
39422020,-1
39713583,4
39736132,23
40752618,37
41817708,10
41938546,-1
42111240,28
42452916,2
42666685,-1
42805334,-1
43013089,28
43713512,137
44054576,-1
44226758,133
44264488,60
44306983,-1
44358362,-1
44497307,23
44685794,-1
44784814,5
44947094,75
44968448,1
45498747,33
45539865,9
45627894,57
45768236,-1
45817164,101
45824698,28
46074720,23
46415207,17
46528563,-1
46803406,-1
47366988,-1
47368403,17
47450763,28
47554620,25
47579363,134
47619182,-1
47699464,2
47739409,-1
47945573,97
48946103,65
49169421,67
49231575,-1
49267734,14
49339247,1
49553375,37
49759381,-1
49920381,110
49933101,23
49958174,23
50159735,28
50291560,37
50368951,5
50415161,-1
50450404,-1
50503416,60
50590883,5
51156319,1
51164776,-1
51212463,33
51372969,89
51374643,95
51412055,28
51518176,91
51892654,132
52044575,-1
52111486,97
52839301,-1
52967436,53
53240740,33
53248377,143
53416214,-1
53687259,-1
53832903,19
53929111,33
53971990,46
54068925,25
54303951,54
54450479,83
54501636,89
54589274,-1
54591077,2
54661158,50
54781464,0
55004501,-1
55387173,47
55714680,-1
55895656,-1
56076836,-1
56333509,37
56409211,1
56588869,20
56595965,76
56632481,-1
56742464,-1
56973618,33
57347062,4
57438170,0
57462009,-1
57463709,87
57547975,6
57653132,5
57696025,-1
57735153,134
57736366,5
57764649,4
57830874,21
57915758,-1
57971118,20
57981586,1
58066525,-1
58109341,54
58215364,-1
58250975,95
58257136,28
58425992,-1
58473549,4
58650829,1
