OST_BK,topic_500
77501465,22
82626077,-1
68575242,-1
50889847,1
59686286,17
21768918,-1
35496314,-1
67149904,9
86710330,13
95866514,9
100177910,19
101337687,8
104786472,3
71445073,-1
62484637,5
76246306,1
86705876,23
100037853,11
100808167,5
73709413,14
60196261,5
13794376,4
55368668,4
70706466,-1
70983906,-1
53274470,13
60164344,13
102962289,5
106441711,21
108446002,0
48340099,-1
88862544,5
89207973,9
98805677,15
99981977,-1
102032653,10
102825457,11
40742791,22
68441504,8
76625865,3
94711619,0
97209259,-1
104178396,14
104550321,3
104798528,17
107350663,5
75180663,6
63012047,15
84842628,17
85198616,-1
100381630,0
102447047,17
48652222,16
53475244,-1
63389784,-1
54676039,-1
80489619,3
80501540,1
54717595,3
76967347,15
71025764,11
41253917,8
98753023,2
103356208,16
76719681,10
80584540,4
68989835,2
14129148,-1
59586162,4
68944681,2
50263496,-1
62319242,12
96515586,22
99349336,7
99515118,3
99941762,17
106212091,-1
107508988,0
107728083,-1
78282858,9
81416869,13
82486190,-1
38824075,20
53286656,-1
74109234,17
68460879,2
23782643,-1
73066149,-1
88791047,4
98505656,8
63844380,13
103143338,17
106479491,5
108493464,20
94598615,1
84276204,-1
32995353,-1
77975809,5
38567602,16
60254673,18
9574876,7
102433299,3
103020022,1
106545664,0
108195192,6
77492184,22
27708197,14
29421475,1
69863766,9
88667061,13
93227672,-1
95788536,3
101422127,3
106646806,17
107022678,3
75576774,-1
85439960,-1
93170708,-1
100496771,10
107233421,10
18968260,18
37176829,0
104138127,-1
106156419,-1
106177794,13
108728885,-1
89046889,3
70856027,4
27950467,13
70335261,11
12604179,1
101526874,-1
102020363,-1
102282272,15
83167401,12
13422489,-1
17305627,4
18521330,-1
74142938,19
66684214,2
101922352,-1
103836613,0
106936989,6
107080577,14
107922411,2
108705474,-1
108705515,3
83766873,19
85131735,-1
19190399,4
74284616,23
21354998,18
78530413,-1
41222517,13
14857515,7
66022183,7
34645988,-1
70184179,12
25614670,23
36594884,10
72502630,9
87524747,2
90844710,0
98367696,0
100929934,7
102372721,3
102538364,2
102941913,8
105752927,11
106478825,4
81471694,-1
83586170,4
64529725,12
49307498,5
21260416,4
45488583,22
21460241,13
59616638,14
63740048,0
98628204,8
102686871,2
103904084,8
104653220,-1
105910588,23
68807772,4
74751306,11
54929170,-1
66408225,2
58033054,2
10849785,4
78177507,1
83145883,11
95566931,-1
98245849,2
101646619,-1
101781990,2
101925091,1
102075559,3
102513744,-1
102967587,2
103038882,1
103901725,1
103931705,-1
107832356,-1
108404918,-1
108271542,22
73902210,5
66023696,21
52707871,11
38546117,1
21428535,2
82991585,-1
102298699,8
105388747,18
107750905,19
106968066,6
107486450,10
78043098,2
55714680,3
61171613,-1
74791666,16
76239019,-1
56759172,9
72176524,4
50716487,13
74548937,14
75787759,6
70134785,13
87584013,-1
103123646,2
108142534,21
108483626,7
108533482,6
91615479,5
53940919,-1
39152951,9
62140305,0
54760511,-1
24852402,-1
13414259,2
107216358,10
108361987,-1
77806073,-1
80053890,12
80172326,7
22636522,18
52758892,-1
26351022,5
100208027,-1
101005937,-1
106812791,8
107164183,10
53378505,-1
53791960,0
50503416,-1
18263680,-1
98110265,6
98602750,-1
101873977,7
107877795,-1
70704976,7
37453202,16
86111340,20
94486055,13
100956454,0
102273252,7
106578683,1
85180188,2
87743798,18
88980301,-1
93707531,-1
97275363,11
102114525,0
103742907,-1
105248109,8
106549854,3
106561371,6
79939286,16
19539024,-1
12344796,-1
17434384,11
64260030,1
89032258,2
89325280,11
95479974,-1
100515841,16
102560502,6
103365567,1
93998527,2
94765187,-1
76116558,5
64611946,14
11731684,11
65042759,-1
68241938,-1
102957976,-1
103114226,17
105486468,21
77371798,0
101255387,17
102060093,9
102770891,-1
35297126,2
61446936,20
67211019,9
43945465,-1
60076850,3
59004761,23
83982581,5
101866079,20
102270757,-1
102602852,17
105784328,20
76855612,-1
59647616,13
10289895,22
81930292,-1
90718274,14
93279960,-1
94253282,13
99500381,3
103032946,-1
104755542,11
107340166,4
78497539,21
73203403,15
59832331,14
27212401,-1
15881177,7
17661231,-1
64983162,12
35520457,6
53053093,1
108180310,8
82872038,7
48650388,1
71934792,10
60902450,19
85847068,-1
101413781,17
101517981,-1
102143595,-1
102227576,15
108395121,6
71772401,-1
19407414,0
18508286,13
82919602,-1
100256012,23
101485778,7
105586899,20
106301583,2
36112782,19
59128954,-1
10876120,2
83407710,9
88162633,5
96933788,11
99228697,3
100971984,15
101850319,0
104010880,2
106440982,-1
78014275,3
67823685,1
15136574,-1
25057969,1
15981169,-1
64717114,-1
23395401,13
87296770,1
95222647,-1
104050893,6
105449268,22
105109125,3
82094083,5
67740770,7
50899730,-1
71724416,11
23401038,4
64067155,-1
74249794,14
17233552,-1
76150963,4
95696764,1
100729285,14
101155480,19
101283283,-1
106141408,6
66453142,16
45901696,17
64368132,-1
22325147,-1
18037819,15
59223161,10
79416940,2
83444290,1
83993447,5
89764744,-1
101943737,0
102829919,6
106220543,7
106088381,-1
107087280,22
76875491,19
14466643,12
31188277,13
54937548,20
62658778,3
78321022,0
80260928,18
94477517,5
96006502,12
100712135,3
102158864,-1
102207356,15
102786354,10
77668369,13
83210673,13
84271375,-1
68348827,22
75468374,4
38048080,3
53104946,7
62433787,-1
25009710,3
36269956,0
59648990,4
86273248,-1
93627600,8
100103372,22
103024348,2
103147239,17
103682644,4
104547995,0
105952244,3
107224601,6
107935290,6
89890593,-1
91158416,22
74829638,0
23304288,0
68886131,1
17818276,2
84257229,-1
100675034,2
104842561,-1
104895473,1
106689257,7
107121197,0
107293376,16
107574918,3
84185380,-1
72451039,7
28484646,-1
59661515,7
66107899,14
